question_id,question_type,policy,budget_bytes,k,gold_retained,hit_at_k,hit_at_k_given_retained,used_bytes_end,n_items_retained,ingested,evictions,retrieved_session_ids,gold_session_ids
e47becba,single-session-user,lfu,98304,5,1.0,1.0,1.0,85185,7,53,46,"[""02bd2b90_3"", ""answer_280352e9"", ""84503ce4_1"", ""ultrachat_486410"", ""e27891d3_2""]","[""answer_280352e9""]"
118b2229,single-session-user,lfu,98304,5,0.0,0.0,0.0,93923,9,45,36,"[""728deb4d_5"", ""ultrachat_246088"", ""sharegpt_M3x4mZx_0"", ""79f74d4e_1"", ""d600c646""]","[""answer_40a90d51""]"
51a45a95,single-session-user,lfu,98304,5,1.0,1.0,1.0,90526,9,50,41,"[""217debf7"", ""answer_d61669c7"", ""dfe646a7_1"", ""55e0c6db_2"", ""4f435d20_2""]","[""answer_d61669c7""]"
58bf7951,single-session-user,lfu,98304,5,0.0,0.0,0.0,81650,9,57,48,"[""ultrachat_268434"", ""e2efa128"", ""80082060_2"", ""987b36db_2"", ""sharegpt_OFiElWf_37""]","[""answer_355c48bb""]"
1e043500,single-session-user,lfu,98304,5,0.0,0.0,0.0,96996,10,50,40,"[""b28990c8_1"", ""7201d752"", ""a61d06f2"", ""ultrachat_149462"", ""a450dfaf""]","[""answer_3e012175""]"
c5e8278d,single-session-user,lfu,98304,5,1.0,1.0,1.0,94754,8,44,36,"[""answer_f6168136"", ""aaf71ce2_2"", ""dc832f73"", ""03362ec8_2"", ""fc6549b2""]","[""answer_f6168136""]"
6ade9755,single-session-user,lfu,98304,5,1.0,1.0,1.0,85421,10,51,41,"[""answer_9398da02"", ""ec8fa65d_2"", ""ultrachat_462"", ""ultrachat_112120"", ""ultrachat_183970""]","[""answer_9398da02""]"
6f9b354f,single-session-user,lfu,98304,5,0.0,0.0,0.0,95241,9,50,41,"[""0c0f2449_2"", ""f2d7486b"", ""5e87a43d_1"", ""a729934a_2"", ""sharegpt_btNPIXV_0""]","[""answer_feb5200f""]"
58ef2f1c,single-session-user,lfu,98304,5,1.0,1.0,1.0,89647,8,50,42,"[""answer_59547700"", ""e6ab6a7b_2"", ""e82ce7cd_1"", ""403ee298_1"", ""ultrachat_13835""]","[""answer_59547700""]"
f8c5f88b,single-session-user,lfu,98304,5,0.0,0.0,0.0,89812,9,46,37,"[""sharegpt_TKj3yO8_0"", ""7ff89315_3"", ""7746ba1b_2"", ""121efb3b_1"", ""sharegpt_n2aGNgW_9""]","[""answer_c3567066""]"
5d3d2817,single-session-user,lfu,98304,5,0.0,0.0,0.0,91434,6,53,47,"[""85d16d01"", ""72f053da_2"", ""cef33b28_2"", ""ultrachat_198348"", ""sharegpt_TY5Si51_29""]","[""answer_235eb6fb""]"
7527f7e2,single-session-user,lfu,98304,5,0.0,0.0,0.0,91675,8,45,37,"[""sharegpt_bTDMt3m_0"", ""44bbd8cd_2"", ""sharegpt_cRrfdsc_0"", ""7712aded"", ""ultrachat_54556""]","[""answer_7cb94507""]"
c960da58,single-session-user,lfu,98304,5,0.0,0.0,0.0,94102,9,46,37,"[""793ff37a"", ""ultrachat_109577"", ""5edfe253_2"", ""sharegpt_e328KPR_0"", ""7a389bd1_6""]","[""answer_e05e4612""]"
3b6f954b,single-session-user,lfu,98304,5,0.0,0.0,0.0,85108,9,50,41,"[""c566edbb_3"", ""90b1c6d4_2"", ""e27891d3_2"", ""c271c071"", ""sharegpt_7R4dDcT_0""]","[""answer_94030872""]"
726462e0,single-session-user,lfu,98304,5,0.0,0.0,0.0,83428,10,48,38,"[""741c6781_1"", ""cdd9704d_1"", ""ce144f08"", ""ultrachat_93574"", ""ultrachat_39637""]","[""answer_f38f679b""]"
94f70d80,single-session-user,lfu,98304,5,1.0,1.0,1.0,70265,6,49,43,"[""answer_c63c0458"", ""5832a64a"", ""43df393f"", ""2ae4f277_1"", ""ultrachat_436464""]","[""answer_c63c0458""]"
66f24dbb,single-session-user,lfu,98304,5,0.0,0.0,0.0,86740,9,50,41,"[""ultrachat_59420"", ""798e4ba3_2"", ""b6858c2a_2"", ""ultrachat_428656"", ""sharegpt_BvuMJIh_0""]","[""answer_fea2e4d3""]"
ad7109d1,single-session-user,lfu,98304,5,0.0,0.0,0.0,96433,10,44,34,"[""ultrachat_74974"", ""22aa7cca_3"", ""d92cc997"", ""ultrachat_50497"", ""d0c1453b_2""]","[""answer_679840f8""]"
af8d2e46,single-session-user,lfu,98304,5,1.0,1.0,1.0,89569,8,50,42,"[""answer_82a04f59"", ""db6ddaba"", ""266d604c"", ""bdd64321"", ""deb12028_4""]","[""answer_82a04f59""]"
dccbc061,single-session-user,lfu,98304,5,0.0,0.0,0.0,94724,11,49,38,"[""657ab20c_1"", ""53022099_3"", ""d1f30ac6_1"", ""5fc843cd"", ""ultrachat_343""]","[""answer_8f276838""]"
c8c3f81d,single-session-user,lfu,98304,5,1.0,1.0,1.0,88976,7,52,45,"[""answer_761acef8"", ""19ec83c5_1"", ""2b16f3d6_1"", ""9bec5593_1"", ""ultrachat_429358""]","[""answer_761acef8""]"
8ebdbe50,single-session-user,lfu,98304,5,1.0,1.0,1.0,90642,8,48,40,"[""answer_8ad8a34f"", ""0908f614"", ""407dd888"", ""d87ea945"", ""sharegpt_mWFmQxk_36""]","[""answer_8ad8a34f""]"
6b168ec8,single-session-user,lfu,98304,5,0.0,0.0,0.0,92761,7,50,43,"[""49b78a55_2"", ""ultrachat_499691"", ""fb2368b8_3"", ""dded1725_3"", ""afffd8ec_3""]","[""answer_e623ae87""]"
75499fd8,single-session-user,lfu,98304,5,0.0,0.0,0.0,97022,10,52,42,"[""990b60df_1"", ""sharegpt_7jNclxT_13"", ""7d054e90_2"", ""sharegpt_yPCVYhX_0"", ""5328c3c2_2""]","[""answer_723bf11f""]"
21436231,single-session-user,lfu,98304,5,0.0,0.0,0.0,90991,9,50,41,"[""0d0a89dc_1"", ""d0785ee9_1"", ""a3118ef0_1"", ""ultrachat_172276"", ""9b820206""]","[""answer_1e6d4567""]"
95bcc1c8,single-session-user,lfu,98304,5,0.0,0.0,0.0,92048,7,46,39,"[""1c1f5ccc_2"", ""2e2085fa_1"", ""e84415e5"", ""37b1051a_2"", ""27d9e492_2""]","[""answer_cb742a61""]"
0862e8bf,single-session-user,lfu,98304,5,0.0,0.0,0.0,89406,7,50,43,"[""2442d5b9"", ""10541a2c_1"", ""sharegpt_WhKs0Le_0"", ""381b80a3"", ""ultrachat_88749""]","[""answer_c6fd8ebd""]"
853b0a1d,single-session-user,lfu,98304,5,0.0,0.0,0.0,83393,10,52,42,"[""6cf1848e_2"", ""643a4cf2_1"", ""ultrachat_454425"", ""sharegpt_vHatqNp_15"", ""ultrachat_566425""]","[""answer_69811d4a""]"
a06e4cfe,single-session-user,lfu,98304,5,0.0,0.0,0.0,94869,10,53,43,"[""9de2c795"", ""2345468a"", ""6dfb33f1_1"", ""sharegpt_e1JmYDm_0"", ""3c2e6725""]","[""answer_6fe9fb49""]"
37d43f65,single-session-user,lfu,98304,5,1.0,1.0,1.0,93796,10,49,39,"[""answer_55161935"", ""1cafd864_3"", ""ultrachat_170146"", ""sharegpt_afbMhMS_45"", ""782c0f84""]","[""answer_55161935""]"
b86304ba,single-session-user,lfu,98304,5,1.0,1.0,1.0,92417,8,41,33,"[""answer_645b0329"", ""65f3c006_1"", ""97e6d559_2"", ""fe1e4351_1"", ""sharegpt_AFGmiGL_0""]","[""answer_645b0329""]"
d52b4f67,single-session-user,lfu,98304,5,1.0,1.0,1.0,96136,11,52,41,"[""answer_0df6aa4b"", ""f999b05b_5"", ""cd1f21d0_3"", ""da1797c4_1"", ""ultrachat_127631""]","[""answer_0df6aa4b""]"
25e5aa4f,single-session-user,lfu,98304,5,0.0,0.0,0.0,93214,9,45,36,"[""48f804a3"", ""18807892_4"", ""2769b367_3"", ""sharegpt_SwdaeDm_15"", ""ee693d64_2""]","[""answer_986de8c3""]"
caf9ead2,single-session-user,lfu,98304,5,0.0,0.0,0.0,91676,10,43,33,"[""sharegpt_3D3oQC0_213"", ""ultrachat_495546"", ""fc167d00"", ""a1c1739c_1"", ""ultrachat_532107""]","[""answer_0714183a""]"
8550ddae,single-session-user,lfu,98304,5,0.0,0.0,0.0,94498,8,42,34,"[""4f234e2c"", ""8ec23b2c"", ""d7e234e5"", ""d59a335d"", ""ultrachat_193868""]","[""answer_c8354ae9""]"
60d45044,single-session-user,lfu,98304,5,0.0,0.0,0.0,88521,9,51,42,"[""fec059c5"", ""9b1d5656_2"", ""sharegpt_42tUQ8S_0"", ""sharegpt_BFODaKW_0"", ""sharegpt_SxpAlwx_50""]","[""answer_9cddca88""]"
