question_id,question_type,policy,budget_bytes,k,gold_retained,hit_at_k,hit_at_k_given_retained,used_bytes_end,n_items_retained,ingested,evictions,retrieved_session_ids,gold_session_ids
e47becba,single-session-user,lru,131072,10,1.0,1.0,1.0,125658,12,53,41,"[""02bd2b90_3"", ""answer_280352e9"", ""84503ce4_1"", ""ultrachat_486410"", ""e27891d3_2"", ""ultrachat_458322"", ""0586f435_3"", ""e348269f_1"", ""d94b721b"", ""ec6ca9ef""]","[""answer_280352e9""]"
118b2229,single-session-user,lru,131072,10,0.0,0.0,0.0,122014,13,45,32,"[""728deb4d_5"", ""628c958c_7"", ""ultrachat_246088"", ""sharegpt_M3x4mZx_0"", ""79f74d4e_1"", ""d600c646"", ""ultrachat_450272"", ""ultrachat_498215"", ""sharegpt_1rIk8tS_17"", ""3ea9f765""]","[""answer_40a90d51""]"
51a45a95,single-session-user,lru,131072,10,1.0,1.0,1.0,120618,13,50,37,"[""217debf7"", ""answer_d61669c7"", ""8fa64936_1"", ""dfe646a7_1"", ""55e0c6db_2"", ""c133623d"", ""4f435d20_2"", ""ultrachat_104948"", ""sharegpt_EDBCs6g_23"", ""ultrachat_181873""]","[""answer_d61669c7""]"
58bf7951,single-session-user,lru,131072,10,0.0,0.0,0.0,124551,13,57,44,"[""ultrachat_268434"", ""e2efa128"", ""80082060_2"", ""07b7a667_1"", ""ultrachat_520205"", ""987b36db_2"", ""sharegpt_OFiElWf_37"", ""sharegpt_jm1c5JI_21"", ""sharegpt_UAJxypC_0"", ""ultrachat_143341""]","[""answer_355c48bb""]"
1e043500,single-session-user,lru,131072,10,0.0,0.0,0.0,121520,13,50,37,"[""b28990c8_1"", ""7201d752"", ""a61d06f2"", ""ultrachat_149462"", ""a450dfaf"", ""sharegpt_uQMdL9t_0"", ""ultrachat_373118"", ""be324b2e_1"", ""ultrachat_271928"", ""sharegpt_tqYP7xM_0""]","[""answer_3e012175""]"
c5e8278d,single-session-user,lru,131072,10,1.0,1.0,1.0,125061,10,44,34,"[""answer_f6168136"", ""aaf71ce2_2"", ""b1265fd7_1"", ""dc832f73"", ""03362ec8_2"", ""fc6549b2"", ""9330ccce_2"", ""89c1cdfa_1"", ""ultrachat_168639"", ""sharegpt_3dtASzd_0""]","[""answer_f6168136""]"
6ade9755,single-session-user,lru,131072,10,1.0,1.0,1.0,125105,14,51,37,"[""7c5ab02a_2"", ""answer_9398da02"", ""ec8fa65d_2"", ""ultrachat_462"", ""sharegpt_mJ7MnQS_31"", ""ultrachat_112120"", ""5df2f487"", ""ultrachat_183970"", ""0b64c6cb_1"", ""sharegpt_YsgacQi_0""]","[""answer_9398da02""]"
6f9b354f,single-session-user,lru,131072,10,0.0,0.0,0.0,122911,12,50,38,"[""0c0f2449_2"", ""f2d7486b"", ""5e87a43d_1"", ""a729934a_2"", ""68d4de04_2"", ""sharegpt_btNPIXV_0"", ""sharegpt_j5hunXU_0"", ""sharegpt_KwbJJ66_18"", ""sharegpt_RFTmtPA_0"", ""ultrachat_100380""]","[""answer_feb5200f""]"
58ef2f1c,single-session-user,lru,131072,10,1.0,1.0,1.0,130782,11,50,39,"[""answer_59547700"", ""e6ab6a7b_2"", ""e82ce7cd_1"", ""403ee298_1"", ""ultrachat_5212"", ""ultrachat_13835"", ""b17c7f18"", ""705b5399_1"", ""sharegpt_GnobiqC_143"", ""sharegpt_65aOCnJ_15""]","[""answer_59547700""]"
f8c5f88b,single-session-user,lru,131072,10,0.0,0.0,0.0,127731,12,46,34,"[""sharegpt_TKj3yO8_0"", ""7ff89315_3"", ""7746ba1b_2"", ""121efb3b_1"", ""0a6bf5e4_2"", ""15232887_1"", ""5520ca18"", ""sharegpt_n2aGNgW_9"", ""ultrachat_90878"", ""ultrachat_376718""]","[""answer_c3567066""]"
