question_id,question_type,policy,budget_bytes,k,gold_retained,hit_at_k,hit_at_k_given_retained,used_bytes_end,n_items_retained,ingested,evictions,retrieved_session_ids,gold_session_ids
e47becba,single-session-user,lru,524288,5,1.0,1.0,1.0,490719,53,53,0,"[""02bd2b90_3"", ""answer_280352e9"", ""ultrachat_214101"", ""5dac7cc2_1"", ""f6859b48_2""]","[""answer_280352e9""]"
118b2229,single-session-user,lru,524288,5,1.0,1.0,1.0,488640,45,45,0,"[""5dce60dd"", ""afe04238_1"", ""db50c0f6"", ""answer_40a90d51"", ""db73b7e4_4""]","[""answer_40a90d51""]"
51a45a95,single-session-user,lru,524288,5,1.0,1.0,1.0,506641,50,50,0,"[""98c198fb"", ""217debf7"", ""answer_d61669c7"", ""8fa64936_1"", ""5c44d9fe_1""]","[""answer_d61669c7""]"
58bf7951,single-session-user,lru,524288,5,1.0,1.0,1.0,475964,56,57,0,"[""answer_355c48bb"", ""ultrachat_268434"", ""ultrachat_365156"", ""08469b58"", ""1587bd78_1""]","[""answer_355c48bb""]"
1e043500,single-session-user,lru,524288,5,1.0,1.0,1.0,486546,49,50,0,"[""answer_3e012175"", ""01bd9def"", ""b28990c8_1"", ""8020d945_2"", ""sharegpt_Clr6oyu_0""]","[""answer_3e012175""]"
c5e8278d,single-session-user,lru,524288,5,1.0,1.0,1.0,492648,44,44,0,"[""answer_f6168136"", ""64767b7f"", ""89b1028d_1"", ""aaf71ce2_2"", ""b1265fd7_1""]","[""answer_f6168136""]"
6ade9755,single-session-user,lru,524288,5,1.0,1.0,1.0,490848,51,51,0,"[""7c5ab02a_2"", ""answer_9398da02"", ""ec8fa65d_2"", ""ultrachat_462"", ""sharegpt_mJ7MnQS_31""]","[""answer_9398da02""]"
6f9b354f,single-session-user,lru,524288,5,1.0,1.0,1.0,511442,50,50,0,"[""answer_feb5200f"", ""a79f1a04_1"", ""0c0f2449_2"", ""sharegpt_VAELSB3_0"", ""36828c66_2""]","[""answer_feb5200f""]"
58ef2f1c,single-session-user,lru,524288,5,1.0,1.0,1.0,488201,50,50,0,"[""answer_59547700"", ""13f3da23_3"", ""e6ab6a7b_2"", ""e82ce7cd_1"", ""403ee298_1""]","[""answer_59547700""]"
f8c5f88b,single-session-user,lru,524288,5,1.0,1.0,1.0,494053,46,46,0,"[""answer_c3567066"", ""sharegpt_TKj3yO8_0"", ""91880423"", ""394f846b"", ""58de8f9b""]","[""answer_c3567066""]"
5d3d2817,single-session-user,lru,524288,5,1.0,1.0,1.0,501147,53,53,0,"[""670ca40e"", ""answer_235eb6fb"", ""85d16d01"", ""72f053da_2"", ""e7b0637e_3""]","[""answer_235eb6fb""]"
7527f7e2,single-session-user,lru,524288,5,1.0,1.0,1.0,501311,45,45,0,"[""answer_7cb94507"", ""sharegpt_bTDMt3m_0"", ""bee872da_2"", ""864a563d_3"", ""d81d9846""]","[""answer_7cb94507""]"
