question_id,question_type,policy,budget_bytes,k,gold_retained,hit_at_k,hit_at_k_given_retained,used_bytes_end,n_items_retained,ingested,evictions,retrieved_session_ids,gold_session_ids
e47becba,single-session-user,lru,262144,10,1.0,1.0,1.0,257748,26,53,27,"[""02bd2b90_3"", ""answer_280352e9"", ""ultrachat_214101"", ""84503ce4_1"", ""ultrachat_486410"", ""e27891d3_2"", ""ultrachat_458322"", ""0586f435_3"", ""e348269f_1"", ""d94b721b""]","[""answer_280352e9""]"
118b2229,single-session-user,lru,262144,10,0.0,0.0,0.0,259471,24,45,21,"[""5dce60dd"", ""728deb4d_5"", ""628c958c_7"", ""5209e813_2"", ""9ee69ca6_2"", ""ultrachat_246088"", ""sharegpt_M3x4mZx_0"", ""79f74d4e_1"", ""d600c646"", ""ultrachat_450272""]","[""answer_40a90d51""]"
51a45a95,single-session-user,lru,262144,10,1.0,1.0,1.0,255508,26,50,24,"[""98c198fb"", ""217debf7"", ""answer_d61669c7"", ""8fa64936_1"", ""dfe646a7_1"", ""55e0c6db_2"", ""c133623d"", ""127fd1c9"", ""f32d1ccf_1"", ""ultrachat_261438""]","[""answer_d61669c7""]"
58bf7951,single-session-user,lru,262144,10,1.0,1.0,1.0,255391,33,57,23,"[""answer_355c48bb"", ""ultrachat_268434"", ""ultrachat_365156"", ""e2efa128"", ""80082060_2"", ""ultrachat_520205"", ""sharegpt_RkFlOeC_19"", ""ultrachat_304942"", ""sharegpt_PancT1q_0"", ""ultrachat_366731""]","[""answer_355c48bb""]"
1e043500,single-session-user,lru,262144,10,0.0,0.0,0.0,257200,27,50,22,"[""b28990c8_1"", ""8020d945_2"", ""sharegpt_Clr6oyu_0"", ""7201d752"", ""a61d06f2"", ""ultrachat_149462"", ""a450dfaf"", ""sharegpt_uQMdL9t_0"", ""ultrachat_373118"", ""be324b2e_1""]","[""answer_3e012175""]"
c5e8278d,single-session-user,lru,262144,10,1.0,1.0,1.0,256797,21,44,23,"[""answer_f6168136"", ""64767b7f"", ""aaf71ce2_2"", ""b1265fd7_1"", ""dc832f73"", ""d777e7da_1"", ""03362ec8_2"", ""fc6549b2"", ""9330ccce_2"", ""524597e4_1""]","[""answer_f6168136""]"
6ade9755,single-session-user,lru,262144,10,1.0,1.0,1.0,259145,27,51,24,"[""7c5ab02a_2"", ""answer_9398da02"", ""ec8fa65d_2"", ""ultrachat_462"", ""sharegpt_mJ7MnQS_31"", ""ultrachat_217527"", ""a200b713_4"", ""ultrachat_112120"", ""5df2f487"", ""910ed479_3""]","[""answer_9398da02""]"
6f9b354f,single-session-user,lru,262144,10,1.0,1.0,1.0,256913,24,50,26,"[""answer_feb5200f"", ""0c0f2449_2"", ""f2d7486b"", ""5e87a43d_1"", ""a729934a_2"", ""68d4de04_2"", ""38e4b795_2"", ""0e3d8491_1"", ""sharegpt_n3u1ULd_49"", ""380503a2""]","[""answer_feb5200f""]"
58ef2f1c,single-session-user,lru,262144,10,1.0,1.0,1.0,252219,23,50,27,"[""answer_59547700"", ""e6ab6a7b_2"", ""e82ce7cd_1"", ""403ee298_1"", ""ultrachat_5212"", ""ultrachat_477344"", ""2eceeb9d_1"", ""ultrachat_13835"", ""b17c7f18"", ""4774287c_1""]","[""answer_59547700""]"
f8c5f88b,single-session-user,lru,262144,10,1.0,1.0,1.0,257441,23,46,23,"[""answer_c3567066"", ""sharegpt_TKj3yO8_0"", ""91880423"", ""394f846b"", ""7ff89315_3"", ""ultrachat_412973"", ""e5bb44ef"", ""7746ba1b_2"", ""121efb3b_1"", ""0a6bf5e4_2""]","[""answer_c3567066""]"
5d3d2817,single-session-user,lru,262144,10,0.0,0.0,0.0,249243,26,53,27,"[""670ca40e"", ""85d16d01"", ""72f053da_2"", ""e7b0637e_3"", ""ultrachat_171456"", ""sharegpt_BKl952A_23"", ""cef33b28_2"", ""ultrachat_198348"", ""sharegpt_ebWP6Hz_0"", ""ultrachat_234942""]","[""answer_235eb6fb""]"
7527f7e2,single-session-user,lru,262144,10,0.0,0.0,0.0,250055,23,45,22,"[""sharegpt_bTDMt3m_0"", ""bee872da_2"", ""864a563d_3"", ""44bbd8cd_2"", ""sharegpt_cRrfdsc_0"", ""7712aded"", ""ultrachat_136979"", ""18a06652_3"", ""60147f90_1"", ""ultrachat_389020""]","[""answer_7cb94507""]"
c960da58,single-session-user,lru,262144,10,0.0,0.0,0.0,262016,25,46,21,"[""793ff37a"", ""ultrachat_109577"", ""5edfe253_2"", ""sharegpt_e328KPR_0"", ""ultrachat_228940"", ""705b5399_3"", ""52381716_1"", ""ultrachat_198948"", ""7a389bd1_6"", ""740a4575_1""]","[""answer_e05e4612""]"
3b6f954b,single-session-user,lru,262144,10,1.0,1.0,1.0,259437,29,50,21,"[""answer_94030872"", ""c566edbb_3"", ""90b1c6d4_2"", ""e27891d3_2"", ""c271c071"", ""98012b1d_6"", ""c2ad2a18_1"", ""sharegpt_7R4dDcT_0"", ""dbdbca48_2"", ""ultrachat_475941""]","[""answer_94030872""]"
726462e0,single-session-user,lru,262144,10,0.0,0.0,0.0,259223,26,48,22,"[""082889ba_1"", ""5b83c26e_1"", ""741c6781_1"", ""cdd9704d_1"", ""ce144f08"", ""a98ff421_1"", ""88841f27_2"", ""876adac6_2"", ""d7f17dba"", ""7e4dab66_1""]","[""answer_f38f679b""]"
94f70d80,single-session-user,lru,262144,10,1.0,1.0,1.0,257719,27,49,22,"[""answer_c63c0458"", ""67045503"", ""sharegpt_PCqCVmR_18"", ""34deeb0c_2"", ""5832a64a"", ""43df393f"", ""09b651aa_3"", ""b015c3c3_1"", ""96eac086"", ""ultrachat_476942""]","[""answer_c63c0458""]"
66f24dbb,single-session-user,lru,262144,10,0.0,0.0,0.0,257630,24,50,26,"[""ultrachat_59420"", ""798e4ba3_2"", ""9ca3534f_2"", ""ca3a4e4f_1"", ""b6858c2a_2"", ""ultrachat_428656"", ""51c262b6_1"", ""sharegpt_CYcAuWq_0"", ""8d015d9d_4"", ""aeb3818c_2""]","[""answer_fea2e4d3""]"
ad7109d1,single-session-user,lru,262144,10,0.0,0.0,0.0,260089,26,44,18,"[""ultrachat_74974"", ""22aa7cca_3"", ""d92cc997"", ""06121f7f_1"", ""ultrachat_50497"", ""f2939479_1"", ""495cf518_1"", ""sharegpt_xcd9nky_8"", ""7ad0bd25_1"", ""6f80636a_2""]","[""answer_679840f8""]"
