question_id,question_type,policy,budget_bytes,k,gold_retained,hit_at_k,hit_at_k_given_retained,used_bytes_end,n_items_retained,ingested,evictions,retrieved_session_ids,gold_session_ids
e47becba,single-session-user,lru,196608,10,1.0,1.0,1.0,192775,19,53,34,"[""02bd2b90_3"", ""answer_280352e9"", ""ultrachat_214101"", ""84503ce4_1"", ""ultrachat_486410"", ""e27891d3_2"", ""ultrachat_458322"", ""0586f435_3"", ""e348269f_1"", ""d94b721b""]","[""answer_280352e9""]"
118b2229,single-session-user,lru,196608,10,0.0,0.0,0.0,195360,19,45,26,"[""728deb4d_5"", ""628c958c_7"", ""5209e813_2"", ""ultrachat_246088"", ""sharegpt_M3x4mZx_0"", ""79f74d4e_1"", ""d600c646"", ""ultrachat_450272"", ""ultrachat_498215"", ""004edb32""]","[""answer_40a90d51""]"
51a45a95,single-session-user,lru,196608,10,1.0,1.0,1.0,185253,19,50,31,"[""98c198fb"", ""217debf7"", ""answer_d61669c7"", ""8fa64936_1"", ""dfe646a7_1"", ""55e0c6db_2"", ""c133623d"", ""127fd1c9"", ""4f435d20_2"", ""ultrachat_104948""]","[""answer_d61669c7""]"
58bf7951,single-session-user,lru,196608,10,0.0,0.0,0.0,189091,24,57,33,"[""ultrachat_268434"", ""ultrachat_365156"", ""e2efa128"", ""80082060_2"", ""07b7a667_1"", ""ultrachat_520205"", ""sharegpt_RkFlOeC_19"", ""ultrachat_304942"", ""sharegpt_PancT1q_0"", ""ultrachat_366731""]","[""answer_355c48bb""]"
1e043500,single-session-user,lru,196608,10,0.0,0.0,0.0,187611,20,50,29,"[""b28990c8_1"", ""8020d945_2"", ""7201d752"", ""a61d06f2"", ""ultrachat_149462"", ""a450dfaf"", ""sharegpt_uQMdL9t_0"", ""ultrachat_373118"", ""be324b2e_1"", ""ultrachat_271928""]","[""answer_3e012175""]"
c5e8278d,single-session-user,lru,196608,10,1.0,1.0,1.0,179019,15,44,29,"[""answer_f6168136"", ""aaf71ce2_2"", ""b1265fd7_1"", ""dc832f73"", ""d777e7da_1"", ""03362ec8_2"", ""fc6549b2"", ""9330ccce_2"", ""524597e4_1"", ""ultrachat_163197""]","[""answer_f6168136""]"
6ade9755,single-session-user,lru,196608,10,1.0,1.0,1.0,190147,20,51,31,"[""7c5ab02a_2"", ""answer_9398da02"", ""ec8fa65d_2"", ""ultrachat_462"", ""sharegpt_mJ7MnQS_31"", ""ultrachat_112120"", ""5df2f487"", ""910ed479_3"", ""ultrachat_59767"", ""ultrachat_556745""]","[""answer_9398da02""]"
6f9b354f,single-session-user,lru,196608,10,1.0,1.0,1.0,176027,17,50,33,"[""answer_feb5200f"", ""0c0f2449_2"", ""f2d7486b"", ""5e87a43d_1"", ""a729934a_2"", ""68d4de04_2"", ""38e4b795_2"", ""0e3d8491_1"", ""sharegpt_btNPIXV_0"", ""sharegpt_j5hunXU_0""]","[""answer_feb5200f""]"
58ef2f1c,single-session-user,lru,196608,10,1.0,1.0,1.0,190763,17,50,33,"[""answer_59547700"", ""e6ab6a7b_2"", ""e82ce7cd_1"", ""403ee298_1"", ""ultrachat_5212"", ""ultrachat_477344"", ""2eceeb9d_1"", ""ultrachat_13835"", ""b17c7f18"", ""4774287c_1""]","[""answer_59547700""]"
f8c5f88b,single-session-user,lru,196608,10,0.0,0.0,0.0,195587,18,46,28,"[""sharegpt_TKj3yO8_0"", ""91880423"", ""394f846b"", ""7ff89315_3"", ""ultrachat_412973"", ""7746ba1b_2"", ""121efb3b_1"", ""0a6bf5e4_2"", ""15232887_1"", ""5520ca18""]","[""answer_c3567066""]"
