question_id,question_type,policy,budget_bytes,k,gold_retained,hit_at_k,hit_at_k_given_retained,used_bytes_end,n_items_retained,ingested,evictions,retrieved_session_ids,gold_session_ids
e47becba,single-session-user,lfu,524288,10,1.0,1.0,1.0,490719,53,53,0,"[""02bd2b90_3"", ""answer_280352e9"", ""ultrachat_214101"", ""5dac7cc2_1"", ""f6859b48_2"", ""84503ce4_1"", ""ultrachat_486410"", ""e27891d3_2"", ""ultrachat_458322"", ""0586f435_3""]","[""answer_280352e9""]"
118b2229,single-session-user,lfu,524288,10,1.0,1.0,1.0,488640,45,45,0,"[""5dce60dd"", ""afe04238_1"", ""db50c0f6"", ""answer_40a90d51"", ""db73b7e4_4"", ""728deb4d_5"", ""628c958c_7"", ""5209e813_2"", ""9ee69ca6_2"", ""7d8b5834_1""]","[""answer_40a90d51""]"
51a45a95,single-session-user,lfu,524288,10,1.0,1.0,1.0,506641,50,50,0,"[""98c198fb"", ""217debf7"", ""answer_d61669c7"", ""8fa64936_1"", ""5c44d9fe_1"", ""07ba9acd_2"", ""dfe646a7_1"", ""55e0c6db_2"", ""c133623d"", ""127fd1c9""]","[""answer_d61669c7""]"
58bf7951,single-session-user,lfu,524288,10,1.0,1.0,1.0,475964,56,57,0,"[""answer_355c48bb"", ""ultrachat_268434"", ""ultrachat_365156"", ""08469b58"", ""1587bd78_1"", ""7e17ae56_5"", ""sharegpt_M84blrA_53"", ""sharegpt_CvVLg2J_18"", ""5b83c26e_1"", ""e2efa128""]","[""answer_355c48bb""]"
1e043500,single-session-user,lfu,524288,10,1.0,1.0,1.0,486546,49,50,0,"[""answer_3e012175"", ""01bd9def"", ""b28990c8_1"", ""8020d945_2"", ""sharegpt_Clr6oyu_0"", ""4d0d7984"", ""7b1d1f43_1"", ""7201d752"", ""a61d06f2"", ""ultrachat_149462""]","[""answer_3e012175""]"
c5e8278d,single-session-user,lfu,524288,10,1.0,1.0,1.0,492648,44,44,0,"[""answer_f6168136"", ""64767b7f"", ""89b1028d_1"", ""aaf71ce2_2"", ""b1265fd7_1"", ""f58317c6"", ""193c23bd_2"", ""dc832f73"", ""d777e7da_1"", ""bdf735de_2""]","[""answer_f6168136""]"
6ade9755,single-session-user,lfu,524288,10,1.0,1.0,1.0,490848,51,51,0,"[""7c5ab02a_2"", ""answer_9398da02"", ""ec8fa65d_2"", ""ultrachat_462"", ""sharegpt_mJ7MnQS_31"", ""ultrachat_217527"", ""a200b713_4"", ""6155addd_3"", ""e49a0b52_1"", ""ultrachat_270925""]","[""answer_9398da02""]"
6f9b354f,single-session-user,lfu,524288,10,1.0,1.0,1.0,511442,50,50,0,"[""answer_feb5200f"", ""a79f1a04_1"", ""0c0f2449_2"", ""sharegpt_VAELSB3_0"", ""36828c66_2"", ""f2d7486b"", ""5e87a43d_1"", ""a729934a_2"", ""68d4de04_2"", ""38e4b795_2""]","[""answer_feb5200f""]"
58ef2f1c,single-session-user,lfu,524288,10,1.0,1.0,1.0,488201,50,50,0,"[""answer_59547700"", ""13f3da23_3"", ""e6ab6a7b_2"", ""e82ce7cd_1"", ""403ee298_1"", ""ultrachat_5212"", ""ultrachat_477344"", ""2eceeb9d_1"", ""ultrachat_13835"", ""b17c7f18""]","[""answer_59547700""]"
f8c5f88b,single-session-user,lfu,524288,10,1.0,1.0,1.0,494053,46,46,0,"[""answer_c3567066"", ""sharegpt_TKj3yO8_0"", ""91880423"", ""394f846b"", ""58de8f9b"", ""68ace657_1"", ""3b5205b6_1"", ""7ff89315_3"", ""ultrachat_412973"", ""e5bb44ef""]","[""answer_c3567066""]"
